,precio_lista,descuento_OS,descuento_banco,stock_disponible,precio_final
precio_lista,1.0,0.10218512422510362,-0.017409546376388238,0.0225007628037242,0.8042413938072557
descuento_OS,0.10218512422510362,1.0,-0.01151203711420585,0.006288557111309011,-0.40194772323180394
descuento_banco,-0.017409546376388238,-0.01151203711420585,1.0,0.0011680933182871423,-0.17142564371469338
stock_disponible,0.0225007628037242,0.006288557111309011,0.0011680933182871423,1.0,0.011854339223686838
precio_final,0.8042413938072557,-0.40194772323180394,-0.17142564371469338,0.011854339223686838,1.0
